user_id,source,train_number,station_code,train_details.train_name,train_details.station_code,train_details.station_name,train_details.arrival_time,train_details.departure_time,train_details.seq,train_details.distance,train_details.source_station,train_details.source_station_name,train_details.destination_station,train_details.destination_station_name,category,priority_percentage,description,keywords,departments,status,status_history,createdAt,updatedAt
69980694370cb24f4b8d4431,web,12301,NDLS,Rajdhani Express,NDLS,New Delhi,16:00,16:30,5,1384,HWH,Howrah,NDLS,New Delhi,"delay,staff behavior",85,Train is running 2 hours late and the attendant was rude when asked about arrival time.,"late,rude,attendant","operations,customer_service",assigned,[],2025-02-15T08:30:00Z,2025-02-15T08:35:00Z
69980694370cb24f4b8d4431,mobile,12951,BCT,Mumbai Rajdhani,BCT,Mumbai Central,20:15,20:20,2,1384,BCT,Mumbai Central,NDLS,New Delhi,"cleanliness,food quality",70,The toilet in coach B1 is extremely dirty and the pantry served stale food.,"dirty toilet,stale food,pantry","cleaning,catering",working_on,[],2025-02-16T11:20:00Z,2025-02-16T11:25:00Z
69980694370cb24f4b8d4431,email,12001,BPL,Bhopal Shatabdi,BPL,Bhopal,06:00,06:05,1,BPL,NDLS,New Delhi,BPL,Bhopal,ticketing,30,I booked ticket online but my name is misspelled. Please correct.,"booking error,name correction",ticketing,received,[],2025-02-14T09:45:00Z,2025-02-14T09:46:00Z
69980694370cb24f4b8d4431,twitter,12627,SBC,Karnataka Express,SBC,Bengaluru,15:30,15:35,12,5000,SBC,Bengaluru,NDLS,New Delhi,"safety,security",95,A suspicious bag was left in coach S3. No one is claiming it. Please check immediately.,"suspicious bag,security threat",security,escalated,[],2025-02-17T14:10:00Z,2025-02-17T14:12:00Z
69980694370cb24f4b8d4431,web,12649,NDLS,Sampark Kranti Express,NDLS,New Delhi,22:00,22:10,3,2000,NDLS,New Delhi,MAS,Chennai Central,medical,100,"Passenger in coach A1, seat 23, has severe chest pain. Need medical assistance urgently.","chest pain,emergency,medical",medical,assigned,[],2025-02-18T21:55:00Z,2025-02-18T21:56:00Z
69980694370cb24f4b8d4431,mobile,12615,BZA,Grand Trunk Express,BZA,Vijayawada,10:45,10:50,8,2180,BZA,Vijayawada,NDLS,New Delhi,delay,60,Train delayed by 1 hour at Vijayawada due to signal failure. No announcement made.,"delay,signal failure,announcement",operations,received,[],2025-02-13T10:30:00Z,2025-02-13T10:32:00Z
69980694370cb24f4b8d4431,email,12633,MAS,Tamil Nadu Express,MAS,Chennai Central,06:45,06:50,1,MAS,NDLS,New Delhi,MAS,Chennai Central,staff behavior,45,The TTE was very uncooperative and spoke rudely.,"rude tte,behavior",customer_service,hold,[],2025-02-12T07:20:00Z,2025-02-12T07:22:00Z
69980694370cb24f4b8d4431,web,12641,ERS,Thirukkural Express,ERS,Ernakulam,23:15,23:20,10,3000,ERS,Ernakulam,NDLS,New Delhi,cleanliness,55,Coach S5 has cockroaches and dirty linen.,"cockroaches,dirty linen",cleaning,working_on,[],2025-02-19T23:30:00Z,2025-02-19T23:32:00Z
69980694370cb24f4b8d4431,mobile,12643,NDLS,Swarna Jayanti Express,NDLS,New Delhi,07:30,07:35,2,NDLS,TRVL,Trivandrum,NDLS,New Delhi,food quality,40,The meal served was cold and tasted bad.,"cold food,bad taste",catering,pending_info,[],2025-02-20T08:00:00Z,2025-02-20T08:02:00Z
69980694370cb24f4b8d4431,twitter,12645,ERS,Ernakulam Express,ERS,Ernakulam,18:00,18:05,3,ERS,BCT,Mumbai Central,ERS,Ernakulam,ticketing,20,"Unable to cancel ticket online, website error.","cancellation,website error",ticketing,received,[],2025-02-11T18:30:00Z,2025-02-11T18:31:00Z
69980694370cb24f4b8d4431,web,12301,HWH,Rajdhani Express,HWH,Howrah,20:30,20:35,1,HWH,NDLS,New Delhi,HWH,Howrah,"delay,medical",90,Train is delayed by 4 hours and a passenger needs insulin which is running out.,"delay,insulin,medical emergency","operations,medical",escalated,[],2025-02-21T00:45:00Z,2025-02-21T00:47:00Z
69980694370cb24f4b8d4431,mobile,12951,NDLS,Mumbai Rajdhani,NDLS,New Delhi,08:30,08:35,1,NDLS,BCT,Mumbai Central,NDLS,New Delhi,cleanliness,75,Bedrolls in coach A2 are stained and smelly.,"stained bedrolls,smelly",cleaning,assigned,[],2025-02-22T09:00:00Z,2025-02-22T09:02:00Z
69980694370cb24f4b8d4431,email,12001,NDLS,Bhopal Shatabdi,NDLS,New Delhi,16:30,16:35,1,NDLS,BPL,Bhopal,NDLS,New Delhi,staff behavior,35,The coach attendant was not helpful with luggage.,unhelpful staff,customer_service,closed,[],2025-02-10T17:00:00Z,2025-02-10T17:01:00Z
69980694370cb24f4b8d4431,twitter,12627,NDLS,Karnataka Express,NDLS,New Delhi,21:45,21:50,1,NDLS,SBC,Bengaluru,NDLS,New Delhi,safety,80,"Lights are flickering in coach S1, possible electrical issue.","flickering lights,electrical",electrical,working_on,[],2025-02-23T22:00:00Z,2025-02-23T22:02:00Z
69980694370cb24f4b8d4431,web,12649,MAS,Sampark Kranti Express,MAS,Chennai Central,13:15,13:20,1,MAS,NDLS,New Delhi,MAS,Chennai Central,food quality,50,The vegetarian meal had a piece of chicken in it.,non-veg in veg meal,catering,escalated,[],2025-02-24T14:00:00Z,2025-02-24T14:02:00Z
69980694370cb24f4b8d4431,mobile,12615,NDLS,Grand Trunk Express,NDLS,New Delhi,14:30,14:35,1,NDLS,BZA,Vijayawada,NDLS,New Delhi,ticketing,25,Duplicate ticket booking charged twice.,"duplicate booking,refund",ticketing,received,[],2025-02-25T15:00:00Z,2025-02-25T15:01:00Z
69980694370cb24f4b8d4431,email,12633,NDLS,Tamil Nadu Express,NDLS,New Delhi,19:45,19:50,1,NDLS,MAS,Chennai Central,NDLS,New Delhi,"cleanliness,delay",65,Toilets are overflowing and train is running late.,"overflowing toilet,delay","cleaning,operations",assigned,[],2025-02-26T20:00:00Z,2025-02-26T20:02:00Z
69980694370cb24f4b8d4431,twitter,12641,NDLS,Thirukkural Express,NDLS,New Delhi,05:30,05:35,1,NDLS,ERS,Ernakulam,NDLS,New Delhi,staff behavior,40,The pantry staff was arguing with passengers.,"argument,pantry staff",catering,hold,[],2025-02-27T06:00:00Z,2025-02-27T06:01:00Z
69980694370cb24f4b8d4431,web,12643,TRVL,Swarna Jayanti Express,TRVL,Trivandrum,09:00,09:05,1,TRVL,NDLS,New Delhi,TRVL,Trivandrum,medical,95,Passenger fainted in coach B3. Need doctor immediately.,"fainted,medical emergency",medical,escalated,[],2025-02-28T09:30:00Z,2025-02-28T09:31:00Z
69980694370cb24f4b8d4431,mobile,12645,BCT,Ernakulam Express,BCT,Mumbai Central,11:45,11:50,1,BCT,ERS,Ernakulam,BCT,Mumbai Central,safety,85,Smoke coming from under seat in coach S2.,"smoke,fire hazard","security,electrical",assigned,[],2025-03-01T12:00:00Z,2025-03-01T12:02:00Z
69980694370cb24f4b8d4431,email,12301,NDLS,Rajdhani Express,NDLS,New Delhi,07:15,07:20,1,NDLS,HWH,Howrah,NDLS,New Delhi,ticketing,30,Senior citizen concession not applied correctly.,concession error,ticketing,received,[],2025-03-02T08:00:00Z,2025-03-02T08:01:00Z
69980694370cb24f4b8d4431,twitter,12951,BCT,Mumbai Rajdhani,BCT,Mumbai Central,16:45,16:50,1,BCT,NDLS,New Delhi,BCT,Mumbai Central,delay,60,Train delayed by 2 hours due to fog.,fog delay,operations,working_on,[],2025-03-03T17:00:00Z,2025-03-03T17:02:00Z
69980694370cb24f4b8d4431,web,12001,BPL,Bhopal Shatabdi,BPL,Bhopal,10:30,10:35,1,BPL,NDLS,New Delhi,BPL,Bhopal,cleanliness,55,Seats are dirty and have food crumbs.,"dirty seats,crumbs",cleaning,assigned,[],2025-03-04T11:00:00Z,2025-03-04T11:01:00Z
69980694370cb24f4b8d4431,mobile,12627,SBC,Karnataka Express,SBC,Bengaluru,19:15,19:20,1,SBC,NDLS,New Delhi,SBC,Bengaluru,food quality,45,The tea was cold and the samosa was stale.,"cold tea,stale samosa",catering,received,[],2025-03-05T20:00:00Z,2025-03-05T20:01:00Z
69980694370cb24f4b8d4431,email,12649,NDLS,Sampark Kranti Express,NDLS,New Delhi,12:00,12:05,1,NDLS,MAS,Chennai Central,NDLS,New Delhi,staff behavior,35,The TTE asked for bribe to upgrade seat.,"bribe,corruption",security,escalated,[],2025-03-06T13:00:00Z,2025-03-06T13:02:00Z
69980694370cb24f4b8d4431,twitter,12615,BZA,Grand Trunk Express,BZA,Vijayawada,18:30,18:35,1,BZA,NDLS,New Delhi,BZA,Vijayawada,medical,90,"Woman in labor in coach S4, need medical help.","labor,childbirth",medical,assigned,[],2025-03-07T19:00:00Z,2025-03-07T19:01:00Z
69980694370cb24f4b8d4431,web,12633,MAS,Tamil Nadu Express,MAS,Chennai Central,22:15,22:20,1,MAS,NDLS,New Delhi,MAS,Chennai Central,safety,80,Someone tried to pickpocket in crowded coach.,"pickpocket,theft",security,working_on,[],2025-03-08T23:00:00Z,2025-03-08T23:01:00Z
69980694370cb24f4b8d4431,mobile,12641,ERS,Thirukkural Express,ERS,Ernakulam,13:45,13:50,1,ERS,NDLS,New Delhi,ERS,Ernakulam,cleanliness,60,Garbage not collected since morning.,"garbage,unclean",cleaning,hold,[],2025-03-09T14:00:00Z,2025-03-09T14:02:00Z
69980694370cb24f4b8d4431,email,12643,NDLS,Swarna Jayanti Express,NDLS,New Delhi,03:30,03:35,1,NDLS,TRVL,Trivandrum,NDLS,New Delhi,delay,50,Train delayed by 3 hours due to operational issues.,operational delay,operations,received,[],2025-03-10T04:00:00Z,2025-03-10T04:01:00Z
69980694370cb24f4b8d4431,twitter,12645,ERS,Ernakulam Express,ERS,Ernakulam,09:30,09:35,1,ERS,BCT,Mumbai Central,ERS,Ernakulam,ticketing,20,Refund not processed after cancellation 10 days ago.,refund delay,ticketing,pending_info,[],2025-03-11T10:00:00Z,2025-03-11T10:01:00Z
69980694370cb24f4b8d4431,web,12301,HWH,Rajdhani Express,HWH,Howrah,17:00,17:05,1,HWH,NDLS,New Delhi,HWH,Howrah,staff behavior,40,The coach attendant was sleeping and didn't respond to calls.,sleeping staff,customer_service,assigned,[],2025-03-12T18:00:00Z,2025-03-12T18:02:00Z
69980694370cb24f4b8d4431,mobile,12951,NDLS,Mumbai Rajdhani,NDLS,New Delhi,11:15,11:20,1,NDLS,BCT,Mumbai Central,NDLS,New Delhi,cleanliness,65,Water leaking from AC vent in coach A3.,"water leak,AC",mechanical,working_on,[],2025-03-13T12:00:00Z,2025-03-13T12:01:00Z
69980694370cb24f4b8d4431,email,12001,NDLS,Bhopal Shatabdi,NDLS,New Delhi,14:45,14:50,1,NDLS,BPL,Bhopal,NDLS,New Delhi,food quality,55,Breakfast was not provided even though included in ticket.,missing breakfast,catering,received,[],2025-03-14T15:00:00Z,2025-03-14T15:02:00Z
69980694370cb24f4b8d4431,twitter,12627,NDLS,Karnataka Express,NDLS,New Delhi,20:30,20:35,1,NDLS,SBC,Bengaluru,NDLS,New Delhi,"safety,delay",85,Train is delayed and there is no announcement. Passengers are anxious.,"no announcement,delay,anxiety",operations,escalated,[],2025-03-15T21:00:00Z,2025-03-15T21:01:00Z
69980694370cb24f4b8d4431,web,12649,MAS,Sampark Kranti Express,MAS,Chennai Central,05:45,05:50,1,MAS,NDLS,New Delhi,MAS,Chennai Central,medical,95,Passenger having seizure in coach B2. Need doctor.,"seizure,medical emergency",medical,assigned,[],2025-03-16T06:00:00Z,2025-03-16T06:02:00Z
69980694370cb24f4b8d4431,mobile,12615,NDLS,Grand Trunk Express,NDLS,New Delhi,22:15,22:20,1,NDLS,BZA,Vijayawada,NDLS,New Delhi,ticketing,30,E-ticket not received after payment.,ticket not received,ticketing,received,[],2025-03-17T23:00:00Z,2025-03-17T23:01:00Z
69980694370cb24f4b8d4431,email,12633,NDLS,Tamil Nadu Express,NDLS,New Delhi,08:00,08:05,1,NDLS,MAS,Chennai Central,NDLS,New Delhi,cleanliness,70,Bed bugs in coach S2.,bed bugs,cleaning,working_on,[],2025-03-18T09:00:00Z,2025-03-18T09:01:00Z
69980694370cb24f4b8d4431,twitter,12641,NDLS,Thirukkural Express,NDLS,New Delhi,16:30,16:35,1,NDLS,ERS,Ernakulam,NDLS,New Delhi,staff behavior,45,The ticket checker was very rude when asked about seat allocation.,rude tte,customer_service,hold,[],2025-03-19T17:00:00Z,2025-03-19T17:02:00Z
69980694370cb24f4b8d4431,web,12643,TRVL,Swarna Jayanti Express,TRVL,Trivandrum,12:15,12:20,1,TRVL,NDLS,New Delhi,TRVL,Trivandrum,"delay,cleanliness",65,Train is 2 hours late and toilets are locked.,"late,locked toilets","operations,cleaning",assigned,[],2025-03-20T13:00:00Z,2025-03-20T13:01:00Z
69980694370cb24f4b8d4431,mobile,12645,BCT,Ernakulam Express,BCT,Mumbai Central,19:45,19:50,1,BCT,ERS,Ernakulam,BCT,Mumbai Central,safety,80,Chain pulling incident in coach S1.,chain pulling,security,working_on,[],2025-03-21T20:00:00Z,2025-03-21T20:02:00Z
69980694370cb24f4b8d4431,email,12301,NDLS,Rajdhani Express,NDLS,New Delhi,10:30,10:35,1,NDLS,HWH,Howrah,NDLS,New Delhi,food quality,50,The dinner was very oily and gave me indigestion.,"oily food,indigestion",catering,received,[],2025-03-22T11:00:00Z,2025-03-22T11:01:00Z
69980694370cb24f4b8d4431,twitter,12951,BCT,Mumbai Rajdhani,BCT,Mumbai Central,13:00,13:05,1,BCT,NDLS,New Delhi,BCT,Mumbai Central,medical,90,Passenger with asthma having breathing difficulty. Need oxygen.,"asthma,breathing difficulty",medical,escalated,[],2025-03-23T14:00:00Z,2025-03-23T14:01:00Z
69980694370cb24f4b8d4431,web,12001,BPL,Bhopal Shatabdi,BPL,Bhopal,07:30,07:35,1,BPL,NDLS,New Delhi,BPL,Bhopal,cleanliness,60,Dust and dirt all over floor.,dusty floor,cleaning,assigned,[],2025-03-24T08:00:00Z,2025-03-24T08:02:00Z
69980694370cb24f4b8d4431,mobile,12627,SBC,Karnataka Express,SBC,Bengaluru,17:45,17:50,1,SBC,NDLS,New Delhi,SBC,Bengaluru,delay,55,Train held at outer signal for 30 minutes without reason.,signal hold,operations,received,[],2025-03-25T18:00:00Z,2025-03-25T18:01:00Z
69980694370cb24f4b8d4431,email,12649,NDLS,Sampark Kranti Express,NDLS,New Delhi,23:15,23:20,1,NDLS,MAS,Chennai Central,NDLS,New Delhi,ticketing,20,"Unable to book ticket via app, payment failed but amount deducted.","payment failed,amount deducted",ticketing,pending_info,[],2025-03-26T00:00:00Z,2025-03-26T00:01:00Z
69980694370cb24f4b8d4431,twitter,12615,BZA,Grand Trunk Express,BZA,Vijayawada,09:15,09:20,1,BZA,NDLS,New Delhi,BZA,Vijayawada,staff behavior,35,"The pantry staff was unhygienic, touched food with bare hands.",unhygienic staff,"catering,cleaning",working_on,[],2025-03-27T10:00:00Z,2025-03-27T10:02:00Z
69980694370cb24f4b8d4431,web,12633,MAS,Tamil Nadu Express,MAS,Chennai Central,15:30,15:35,1,MAS,NDLS,New Delhi,MAS,Chennai Central,"safety,cleanliness",75,"Broken glass near door in coach S3, unsafe for children.","broken glass,unsafe","security,cleaning",escalated,[],2025-03-28T16:00:00Z,2025-03-28T16:01:00Z
69980694370cb24f4b8d4431,mobile,12641,ERS,Thirukkural Express,ERS,Ernakulam,20:45,20:50,1,ERS,NDLS,New Delhi,ERS,Ernakulam,medical,95,Child has high fever and needs paracetamol.,"fever,child",medical,assigned,[],2025-03-29T21:00:00Z,2025-03-29T21:02:00Z
69980694370cb24f4b8d4431,email,12643,NDLS,Swarna Jayanti Express,NDLS,New Delhi,04:30,04:35,1,NDLS,TRVL,Trivandrum,NDLS,New Delhi,cleanliness,60,Sink in washbasin is clogged.,clogged sink,cleaning,received,[],2025-03-30T05:00:00Z,2025-03-30T05:01:00Z
69980694370cb24f4b8d4431,twitter,12645,ERS,Ernakulam Express,ERS,Ernakulam,11:00,11:05,1,ERS,BCT,Mumbai Central,ERS,Ernakulam,"delay,food quality",50,Train late by 1 hour and food ran out in pantry.,"late,food shortage","operations,catering",hold,[],2025-03-31T12:00:00Z,2025-03-31T12:01:00Z
69980694370cb24f4b8d4431,web,12301,HWH,Rajdhani Express,HWH,Howrah,18:45,18:50,1,HWH,NDLS,New Delhi,HWH,Howrah,ticketing,25,Wrong coach number printed on ticket.,wrong coach,ticketing,received,[],2025-04-01T19:00:00Z,2025-04-01T19:02:00Z
69980694370cb24f4b8d4431,mobile,12951,NDLS,Mumbai Rajdhani,NDLS,New Delhi,09:30,09:35,1,NDLS,BCT,Mumbai Central,NDLS,New Delhi,staff behavior,40,"The cleaning staff was mopping during breakfast time, causing dust.",mopping during meal,cleaning,assigned,[],2025-04-02T10:00:00Z,2025-04-02T10:01:00Z
69980694370cb24f4b8d4431,email,12001,NDLS,Bhopal Shatabdi,NDLS,New Delhi,13:15,13:20,1,NDLS,BPL,Bhopal,NDLS,New Delhi,cleanliness,70,"Foul smell in coach, possibly from bathroom.",foul smell,cleaning,working_on,[],2025-04-03T14:00:00Z,2025-04-03T14:02:00Z
69980694370cb24f4b8d4431,twitter,12627,NDLS,Karnataka Express,NDLS,New Delhi,22:00,22:05,1,NDLS,SBC,Bengaluru,NDLS,New Delhi,"safety,medical",90,"Passenger behaving violently, seems mentally disturbed.","violent behavior,disturbed","security,medical",escalated,[],2025-04-04T23:00:00Z,2025-04-04T23:01:00Z
69980694370cb24f4b8d4431,web,12649,MAS,Sampark Kranti Express,MAS,Chennai Central,06:30,06:35,1,MAS,NDLS,New Delhi,MAS,Chennai Central,delay,60,Train delayed due to track maintenance.,track maintenance,operations,received,[],2025-04-05T07:00:00Z,2025-04-05T07:02:00Z
69980694370cb24f4b8d4431,mobile,12615,NDLS,Grand Trunk Express,NDLS,New Delhi,17:45,17:50,1,NDLS,BZA,Vijayawada,NDLS,New Delhi,food quality,45,The packaged water bottle tasted like chemicals.,"chemical taste,water",catering,pending_info,[],2025-04-06T18:00:00Z,2025-04-06T18:01:00Z
69980694370cb24f4b8d4431,email,12633,NDLS,Tamil Nadu Express,NDLS,New Delhi,10:15,10:20,1,NDLS,MAS,Chennai Central,NDLS,New Delhi,cleanliness,65,"Spilled tea on seat, not cleaned for hours.",spilled tea,cleaning,assigned,[],2025-04-07T11:00:00Z,2025-04-07T11:02:00Z
69980694370cb24f4b8d4431,twitter,12641,NDLS,Thirukkural Express,NDLS,New Delhi,19:00,19:05,1,NDLS,ERS,Ernakulam,NDLS,New Delhi,staff behavior,35,The guard was not available for complaint registration.,guard unavailable,customer_service,hold,[],2025-04-08T20:00:00Z,2025-04-08T20:01:00Z
69980694370cb24f4b8d4431,web,12643,TRVL,Swarna Jayanti Express,TRVL,Trivandrum,14:45,14:50,1,TRVL,NDLS,New Delhi,TRVL,Trivandrum,medical,95,"Elderly passenger fell and hurt leg, needs first aid.","fall,injury",medical,assigned,[],2025-04-09T15:00:00Z,2025-04-09T15:02:00Z
69980694370cb24f4b8d4431,mobile,12645,BCT,Ernakulam Express,BCT,Mumbai Central,21:30,21:35,1,BCT,ERS,Ernakulam,BCT,Mumbai Central,"safety,cleanliness",80,"Rat seen in coach, passengers scared.","rat,pest","security,cleaning",escalated,[],2025-04-10T22:00:00Z,2025-04-10T22:01:00Z
69980694370cb24f4b8d4431,email,12301,NDLS,Rajdhani Express,NDLS,New Delhi,12:00,12:05,1,NDLS,HWH,Howrah,NDLS,New Delhi,ticketing,30,Name mismatch due to typo in ticket.,"typo,name mismatch",ticketing,received,[],2025-04-11T13:00:00Z,2025-04-11T13:01:00Z
69980694370cb24f4b8d4431,twitter,12951,BCT,Mumbai Rajdhani,BCT,Mumbai Central,15:45,15:50,1,BCT,NDLS,New Delhi,BCT,Mumbai Central,delay,55,Train stopped for 45 minutes due to cattle on track.,cattle on track,operations,working_on,[],2025-04-12T16:00:00Z,2025-04-12T16:02:00Z
69980694370cb24f4b8d4431,web,12001,BPL,Bhopal Shatabdi,BPL,Bhopal,08:30,08:35,1,BPL,NDLS,New Delhi,BPL,Bhopal,cleanliness,70,"Litter everywhere, no dustbin in coach.","litter,no dustbin",cleaning,assigned,[],2025-04-13T09:00:00Z,2025-04-13T09:01:00Z
69980694370cb24f4b8d4431,mobile,12627,SBC,Karnataka Express,SBC,Bengaluru,18:15,18:20,1,SBC,NDLS,New Delhi,SBC,Bengaluru,food quality,50,The meal was served cold and had a hair in it.,"cold food,hair",catering,escalated,[],2025-04-14T19:00:00Z,2025-04-14T19:02:00Z
69980694370cb24f4b8d4431,email,12649,NDLS,Sampark Kranti Express,NDLS,New Delhi,23:45,23:50,1,NDLS,MAS,Chennai Central,NDLS,New Delhi,staff behavior,40,The TTE refused to help with luggage for an elderly passenger.,refused help,customer_service,hold,[],2025-04-15T00:00:00Z,2025-04-15T00:01:00Z
69980694370cb24f4b8d4431,twitter,12615,BZA,Grand Trunk Express,BZA,Vijayawada,10:45,10:50,1,BZA,NDLS,New Delhi,BZA,Vijayawada,medical,90,"Passenger having heart attack, need immediate medical assistance.","heart attack,emergency",medical,assigned,[],2025-04-16T11:00:00Z,2025-04-16T11:01:00Z
69980694370cb24f4b8d4431,web,12633,MAS,Tamil Nadu Express,MAS,Chennai Central,16:15,16:20,1,MAS,NDLS,New Delhi,MAS,Chennai Central,safety,85,Door not closing properly in coach A1.,faulty door,mechanical,working_on,[],2025-04-17T17:00:00Z,2025-04-17T17:02:00Z
69980694370cb24f4b8d4431,mobile,12641,ERS,Thirukkural Express,ERS,Ernakulam,21:45,21:50,1,ERS,NDLS,New Delhi,ERS,Ernakulam,"cleanliness,delay",65,Train late and toilets are dirty and without water.,"late,dirty toilets,no water","operations,cleaning",received,[],2025-04-18T22:00:00Z,2025-04-18T22:01:00Z
69980694370cb24f4b8d4431,email,12643,NDLS,Swarna Jayanti Express,NDLS,New Delhi,05:15,05:20,1,NDLS,TRVL,Trivandrum,NDLS,New Delhi,ticketing,25,Cannot download ticket PDF from website.,PDF download,ticketing,pending_info,[],2025-04-19T06:00:00Z,2025-04-19T06:02:00Z
69980694370cb24f4b8d4431,twitter,12645,ERS,Ernakulam Express,ERS,Ernakulam,12:30,12:35,1,ERS,BCT,Mumbai Central,ERS,Ernakulam,staff behavior,35,The pantry staff was very rude and overcharged.,"rude,overcharge",catering,hold,[],2025-04-20T13:00:00Z,2025-04-20T13:01:00Z
69980694370cb24f4b8d4431,web,12301,HWH,Rajdhani Express,HWH,Howrah,19:15,19:20,1,HWH,NDLS,New Delhi,HWH,Howrah,"delay,medical",95,Train is 3 hours late and a diabetic passenger needs food urgently.,"late,diabetic,hunger","operations,medical",escalated,[],2025-04-21T20:00:00Z,2025-04-21T20:02:00Z
69980694370cb24f4b8d4431,mobile,12951,NDLS,Mumbai Rajdhani,NDLS,New Delhi,10:45,10:50,1,NDLS,BCT,Mumbai Central,NDLS,New Delhi,cleanliness,70,Mice droppings found near seat in coach B3.,mice droppings,cleaning,assigned,[],2025-04-22T11:00:00Z,2025-04-22T11:01:00Z
69980694370cb24f4b8d4431,email,12001,NDLS,Bhopal Shatabdi,NDLS,New Delhi,14:00,14:05,1,NDLS,BPL,Bhopal,NDLS,New Delhi,food quality,55,The puri was undercooked and doughy.,undercooked puri,catering,received,[],2025-04-23T15:00:00Z,2025-04-23T15:01:00Z
69980694370cb24f4b8d4431,twitter,12627,NDLS,Karnataka Express,NDLS,New Delhi,22:30,22:35,1,NDLS,SBC,Bengaluru,NDLS,New Delhi,safety,80,"Passenger smoking in coach, no action by staff.",smoking,security,working_on,[],2025-04-24T23:00:00Z,2025-04-24T23:02:00Z
69980694370cb24f4b8d4431,web,12649,MAS,Sampark Kranti Express,MAS,Chennai Central,07:15,07:20,1,MAS,NDLS,New Delhi,MAS,Chennai Central,ticketing,30,Refund for cancelled train not credited after 15 days.,refund not credited,ticketing,escalated,[],2025-04-25T08:00:00Z,2025-04-25T08:01:00Z
69980694370cb24f4b8d4431,mobile,12615,NDLS,Grand Trunk Express,NDLS,New Delhi,18:30,18:35,1,NDLS,BZA,Vijayawada,NDLS,New Delhi,"cleanliness,staff behavior",65,Coach not cleaned since starting and staff ignored requests.,"uncleaned,ignored","cleaning,customer_service",assigned,[],2025-04-26T19:00:00Z,2025-04-26T19:02:00Z
69980694370cb24f4b8d4431,email,12633,NDLS,Tamil Nadu Express,NDLS,New Delhi,11:45,11:50,1,NDLS,MAS,Chennai Central,NDLS,New Delhi,medical,90,"Pregnant woman in coach S2 has severe pain, need doctor.","pregnancy,pain",medical,assigned,[],2025-04-27T12:00:00Z,2025-04-27T12:01:00Z
69980694370cb24f4b8d4431,twitter,12641,NDLS,Thirukkural Express,NDLS,New Delhi,20:15,20:20,1,NDLS,ERS,Ernakulam,NDLS,New Delhi,delay,50,Train delayed by 2 hours due to technical snag.,technical snag,operations,received,[],2025-04-28T21:00:00Z,2025-04-28T21:01:00Z
69980694370cb24f4b8d4431,web,12643,TRVL,Swarna Jayanti Express,TRVL,Trivandrum,15:00,15:05,1,TRVL,NDLS,New Delhi,TRVL,Trivandrum,food quality,45,The soup was served cold and tasted sour.,"cold soup,sour",catering,pending_info,[],2025-04-29T16:00:00Z,2025-04-29T16:02:00Z
69980694370cb24f4b8d4431,mobile,12645,BCT,Ernakulam Express,BCT,Mumbai Central,22:15,22:20,1,BCT,ERS,Ernakulam,BCT,Mumbai Central,"safety,cleanliness",75,Fire extinguisher missing in coach B2.,missing fire extinguisher,"security,mechanical",escalated,[],2025-04-30T23:00:00Z,2025-04-30T23:01:00Z
69980694370cb24f4b8d4431,email,12301,NDLS,Rajdhani Express,NDLS,New Delhi,13:30,13:35,1,NDLS,HWH,Howrah,NDLS,New Delhi,staff behavior,35,The attendant was using phone while on duty and ignored calls.,"phone usage,ignored",customer_service,hold,[],2025-05-01T14:00:00Z,2025-05-01T14:01:00Z
69980694370cb24f4b8d4431,twitter,12951,BCT,Mumbai Rajdhani,BCT,Mumbai Central,17:00,17:05,1,BCT,NDLS,New Delhi,BCT,Mumbai Central,"delay,medical",95,"Train stranded due to flood, need food and water for passengers.","stranded,flood,need supplies","operations,medical",assigned,[],2025-05-02T18:00:00Z,2025-05-02T18:02:00Z
69980694370cb24f4b8d4431,web,12001,BPL,Bhopal Shatabdi,BPL,Bhopal,09:45,09:50,1,BPL,NDLS,New Delhi,BPL,Bhopal,cleanliness,60,Spider webs in corners of coach.,spider webs,cleaning,working_on,[],2025-05-03T10:00:00Z,2025-05-03T10:01:00Z
69980694370cb24f4b8d4431,mobile,12627,SBC,Karnataka Express,SBC,Bengaluru,19:30,19:35,1,SBC,NDLS,New Delhi,SBC,Bengaluru,ticketing,20,E-ticket has wrong date.,wrong date,ticketing,received,[],2025-05-04T20:00:00Z,2025-05-04T20:02:00Z
